timestamp,memUsage,memUsageRatio,connections
2023-06-28 21:28:04,2680,0.0,1
2023-06-28 21:28:05,2700,0.0,1
2023-06-28 21:28:05,2664,0.0,1
2023-06-28 21:28:05,2660,0.0,1
2023-06-28 21:28:05,2668,0.0,1
2023-06-28 21:28:05,2660,0.0,1
2023-06-28 21:09:01,2760,0.0,1
2023-06-28 21:28:15,2760,0.0,1
2023-06-28 21:28:17,2540,0.0,2
2023-06-28 21:28:21,2552,0.0,1
2023-06-28 21:28:32,2712,0.0,1
2023-06-28 21:28:27,2660,0.0,1
2023-06-28 21:28:33,2692,0.0,1
2023-06-28 21:28:33,2636,0.0,1
2023-06-28 21:29:00,2680,0.0,1
2023-06-28 21:29:10,2560,0.0,1
2023-06-28 21:29:20,2568,0.0,1
2023-06-28 21:29:30,2688,0.0,1
2023-06-28 21:29:40,2688,0.0,1
2023-06-28 21:29:50,2504,0.0,1
2023-06-28 21:30:00,2712,0.0,1
2023-06-28 21:30:10,2528,0.0,1
2023-06-28 21:30:20,2712,0.0,1
2023-06-28 21:34:38,2504,0.0,1
2023-06-28 21:43:05,2720,0.0,1
2023-06-28 22:00:11,2596,0.0,2
2023-06-28 22:00:21,2712,0.0,2
2023-06-28 22:00:30,2576,0.0,2
2023-07-02 11:54:37,984,0.0,1
2023-07-02 11:54:42,988,0.0,1
2023-07-02 11:54:40,984,0.0,1
2023-07-02 11:54:42,960,0.0,2
2023-07-02 12:02:52,0,0.0,1
2023-07-02 12:03:01,0,0.0,1
2023-07-02 12:03:11,0,0.0,1
2023-07-02 12:03:21,0,0.0,1
2023-07-02 12:03:31,0,0.0,1
2023-07-02 12:03:41,0,0.0,1
2023-07-02 12:03:51,0,0.0,1
2023-07-02 12:04:01,0,0.0,1
2023-07-02 12:04:11,0,0.0,1
2023-07-02 12:04:21,0,0.0,1
2023-07-02 12:04:31,0,0.0,1
2023-07-02 12:04:41,0,0.0,1
2023-07-02 12:05:43,1004,0.0,1
